"patch_id,""area_ha"",""enn_m"""
51490,85.5443853208456,24.0257079545408
52164,68.4990557588542,24.0257079545408
52734,74.9661680833956,24.0257079545408
53017,81.1303835928433,24.0257079545408
53113,160.216549951156,24.0257079545408
54303,128.937167416394,24.0257079545408
54409,286.930733616035,24.0257079545408
54981,524.365641875215,24.0257079545408
55301,103.931986837362,24.0257079545408
55373,69.5150815183302,24.0257079545408
55596,177.139366884259,24.0257079545408
55848,146.774721935475,24.0257079545408
59718,76.3880734215367,24.0257079545408
60283,70.887811917028,24.0257079545408
62025,97.9341930160445,24.0257079545408
63061,195.889878886411,24.0257079545408
67544,132.283157484296,24.0257079545408
67804,226.105711785786,24.0257079545408
68522,81.475943102573,24.0257079545408
68774,232.519253323409,24.0257079545408
69034,56.1896240280828,24.0257079545408
69970,54.547901800165,24.0257079545408
70963,67.2923341386424,24.0257079545408
71079,156.718140310561,24.0257079545408
72951,295.242209514407,24.0257079545408
73326,107.805533139823,24.0257079545408
74376,79.1378564559338,24.0257079545408
75025,139.790699949312,24.0257079545408
76036,55.9784467604664,24.0257079545408
76757,490.961627590625,24.0257079545408
77359,65.3088004792164,24.0257079545408
77380,277.771285867291,24.0257079545408
77820,234.344234857838,24.0257079545408
78225,89.6049470250129,24.0257079545408
78555,152.25348447363,24.0257079545408
78664,624.410153779778,24.0257079545408
79126,56.9323940295607,24.0257079545408
81437,63.4332339592218,24.0257079545408
82149,153.855888750471,24.0257079545408
82154,65.1382499968177,24.0257079545408
82217,72.2517962925163,24.0257079545408
82614,134.59557589405,24.0257079545408
82750,54.3514978860249,24.0257079545408
83487,73.789455076839,24.0257079545408
84401,52.2371563843499,24.0257079545408
84441,93.9966303930328,24.0257079545408
84854,100.948851914131,24.0257079545408
84988,329.920328546497,24.0257079545408
87834,71.1310256528502,24.0257079545408
88404,78.5705813417544,24.0257079545408
90509,784.546126368348,24.0257079545408
90590,114.179111947002,24.0257079545408
90930,234.264605262512,24.0257079545408
92185,60.133515643902,24.0257079545408
94351,700.726904347557,24.0257079545408
33745,131.599413021649,24.0257079545409
65265,112.443678179796,24.0257079545409
26172,90.39044983988,24.0257079558505
19464,106.537886374354,24.0257079558505
36407,90.1642639793812,24.0257079558505
43522,70.2277429805866,24.0257079558505
53954,88.9525380970707,24.0257079558505
413,129.494222836489,24.0257079558651
21313,50.5988621449386,24.0257079558651
64483,53.4471800683766,24.0257079558651
331,66.8874975895002,24.0257079558651
17019,61.1419911243666,24.0257079558651
23174,163.054953205458,24.0257079558651
33703,57.9017184799034,24.0257079558651
65681,79.2762502208897,24.0257079558651
75184,50.2222511541072,24.0257079558651
12833,62.3605106417302,24.0257079558723
77506,111.957947482487,24.0257079558723
79516,164.403151973664,24.0257079558723
81456,51.7205369902461,24.0257079558723
82753,81.6056178731002,24.0257079558723
85864,54.3555403014542,24.0257079558723
6652,92.3988902909926,24.0257079558723
13756,172.016187375626,24.0257079558723
26489,77.6738538194414,24.0257079558723
29731,50.7533094348203,24.0257079558723
40048,51.3512010000974,24.0257079558723
52862,103.315547956817,24.0257079558723
55113,76.8524541356365,24.0257079558723
58144,51.2405753409863,24.0257079558723
63711,136.231174332497,24.0257079558723
75041,68.8104280714928,24.0257079558723
75740,60.935653079199,24.0257079558723
79210,112.536405207591,24.0257079558723
82491,131.244177554728,24.0257079558723
85,62.5117137613436,24.0257079558796
34734,61.5482071953231,24.0257079558796
37111,50.9297130274148,24.0257079558796
52741,137.196452769777,24.0257079558796
65499,52.8856611190037,24.0257079558796
77257,51.5276186303647,24.0257079558796
84433,92.9433497266127,24.0257079558796
2924,65.8299456422846,24.0257079558796
11855,60.1702641449878,24.0257079558796
13049,218.576759764038,24.0257079558796
15278,104.533228106068,24.0257079558796
18379,59.2838536108625,24.0257079558796
21058,50.2910660823875,24.0257079558796
23828,51.6818771016927,24.0257079558796
36393,54.3017877574505,24.0257079558796
37674,107.282213785019,24.0257079558796
48468,66.4962579498156,24.0257079558796
50322,52.5405827261188,24.0257079558796
53600,51.2668469450644,24.0257079558796
53715,109.346049058425,24.0257079558796
54368,158.895653439077,24.0257079558796
63161,103.480114806129,24.0257079558796
84845,60.6148482185049,24.0257079558796
38569,89.9857525931113,24.0257079564035
48064,91.4795893344738,24.0257079564035
67435,158.31286917822,24.0257079564035
73926,66.2288122307426,24.0257079564035
78772,186.854372053234,24.0257079564035
17260,51.3590402738561,28.8753073216094
70610,54.0796090372446,32.034277273342
81377,85.4155905109664,32.034277273342
19463,207.932753130056,32.0342772745062
65766,136.443658997709,32.0342772745062
17603,55.2773881750623,33.9774820371906
